C,NEMP.WORLD,TRADINGREGIONSUM,1,PUBLIC,PUBLIC,2024/01/15,00:00:01,0000000367195,,
I,TRADING,TRADINGREGIONSUM,1,SETTLEMENTDATE,REGIONID,TOTALDEMAND,SCHEDULEDGENERATION,NETINTERCHANGE,DEMAND_AND_NONSCHEDGEN
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 14:30:00,NSW1,11834.56,11943.12,-108.56,11914.78
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 15:00:00,NSW1,11912.34,12021.89,-109.55,11993.12
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 15:30:00,NSW1,11967.89,12078.45,-110.56,12049.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 16:00:00,NSW1,12034.56,12146.12,-111.56,12117.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 16:30:00,NSW1,12123.45,12235.01,-111.56,12206.78
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 17:00:00,NSW1,12078.90,12191.45,-112.55,12162.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 17:30:00,NSW1,11934.56,12047.12,-112.56,12018.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 18:00:00,NSW1,11678.90,11792.45,-113.55,11763.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 18:30:00,NSW1,11345.67,11459.23,-113.56,11430.12
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 19:00:00,NSW1,10934.56,11048.12,-113.56,11019.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 19:30:00,NSW1,10567.89,10681.45,-113.56,10652.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 20:00:00,NSW1,10234.56,10348.12,-113.56,10319.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 20:30:00,NSW1,9934.56,10048.12,-113.56,10019.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 21:00:00,NSW1,9678.90,9793.45,-114.55,9764.23
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 21:30:00,NSW1,9345.67,9461.23,-115.56,9432.12
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 22:00:00,NSW1,9012.34,9128.90,-116.56,9099.78
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 22:30:00,NSW1,8734.56,8851.12,-116.56,8822.34
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 23:00:00,NSW1,8456.78,8573.34,-116.56,8544.56
D,TRADING,TRADINGREGIONSUM,1,2024/01/15 23:30:00,NSW1,8234.56,8351.12,-116.56,8322.34
C,END OF REPORT,47
